town,listings
"Yarmouth Port",364
"Worcester","1,076"
"Woods Hole",204
"Woburn",530
"Winthrop",254
"Winchester",102
"Winchendon",28
"Wilmington",46
"Williamstown",586
"Williamsburg",37
"Westport",249
"Westport Point",51
"Weston",60
"Westminster",44
"Westford",128
"Westfield",58
"Westborough",141
"West Yarmouth","1,221"
"West Wareham",20
"West Tisbury",642
"West Stockbridge",192
"West Roxbury",274
"West Newton",123
"West Hyannisport",72
"West Harwich",427
"West Dennis",823
"West Chatham",204
"West Brookfield",21
"West Barnstable",160
"Wellfleet","1,669"
"Wellesley",88
"Wellesley Hills",85
"Webster",54
"Wayland",80
"Watertown",846
"Wareham",256
"Ware",24
"Waltham",827
"Wakefield",92
"Vineyard Haven",867
"Truro",455
"Tewksbury",123
"Taunton",99
"Swansea",40
"Swampscott",151
"Sturbridge",75
"Stoughton",75
"Stoneham",82
"Stockbridge",210
"Springfield",520
"Spencer",36
"Southwick",41
"Southfield",49
"Southborough",99
"South Yarmouth","1,182"
"South Wellfleet",253
"South Lee",48
"South Hadley",75
"South Egremont",85
"South Dennis",462
"South Deerfield",52
"South Dartmouth",153
"South Chatham",459
"Somerville","4,226"
"Somerset",47
"Siasconset",414
"Shrewsbury",121
"Shelburne Falls",163
"Sheffield",163
"Sharon",53
"Scituate",388
"Saugus",178
"Sandwich",546
"Sandisfield",83
"Salisbury",321
"Salem","1,016"
"Sagamore Beach",237
"Rutland",19
"Roxbury","1,094"
"Roxbury Crossing",877
"Rowley",31
"Roslindale",391
"Rockport",828
"Richmond",72
"Revere","1,132"
"Rehoboth",41
"Randolph",142
"Quincy","1,428"
"Provincetown","3,285"
"Pocasset",240
"Plymouth","1,191"
"Pittsfield",518
"Peabody",174
"Palmer",36
"Otis",94
"Osterville",460
"Orleans","1,526"
"Orange",48
"Onset",189
"Oak Bluffs","1,571"
"Norwood",366
"Northampton",431
"North Weymouth",76
"North Truro","1,021"
"North Falmouth",366
"North Chatham",281
"North Andover",57
"North Adams",376
"Newtonville",152
"Newton",281
"Newton Highlands",132
"Newton Center",247
"Newburyport",545
"Newbury",357
"New Bedford",197
"Natick",145
"Nantucket","3,596"
"Nahant",98
"Monterey",159
"Milton",161
"Millbury",27
"Milford",93
"Methuen",78
"Melrose",219
"Medford","1,096"
"Mattapoisett",155
"Mattapan",220
"Mashpee","1,392"
"Marstons Mills",184
"Marshfield",439
"Marlborough",229
"Marion",144
"Marblehead",503
"Mansfield",72
"Manchester",146
"Malden","1,145"
"Lynn",322
"Lowell",377
"Littleton",23
"Lexington",340
"Leominster",64
"Lenox",624
"Leicester",32
"Lee",530
"Lawrence",106
"Lanesboro",642
"Lakeville",34
"Kingston",69
"Jamaica Plain","2,093"
"Ipswich",243
"Indian Orchard",27
"Hyde Park",228
"Hyannis","1,067"
"Hyannis Port",79
"Huntington",25
"Humarock",51
"Hull",351
"Hubbardston",24
"Housatonic",142
"Holyoke",108
"Holland",52
"Hinsdale",65
"Hingham",94
"Haverhill",143
"Harwich",953
"Harwich Port",721
"Hadley",57
"Groton",61
"Greenfield",117
"Great Barrington",982
"Granville",43
"Granby",31
"Gloucester","1,139"
"Franklin",54
"Framingham",568
"Foxboro",248
"Forestdale",49
"Florence",163
"Fitchburg",92
"Falmouth","1,149"
"Fall River",110
"Fairhaven",214
"Everett",621
"Essex",90
"Edgartown","1,804"
"Easthampton",128
"Eastham","1,741"
"East Wareham",27
"East Sandwich",649
"East Otis",85
"East Orleans",62
"East Falmouth","1,298"
"East Dennis",137
"Duxbury",169
"Dracut",48
"Dorchester","2,603"
"Dorchester Center",752
"Dennis",563
"Dennis Port","2,170"
"Dedham",160
"Danvers",119
"Dalton",42
"Cummington",42
"Cotuit",245
"Concord",105
"Cohasset",93
"Chilmark",641
"Chicopee",88
"Chiang Mai",
"Chestnut Hill",305
"Cheshire",35
"Chelsea",541
"Chelmsford",72
"Chatham","1,665"
"Charlestown",608
"Charlemont",69
"Centerville",852
"Cataumet",57
"Canton",75
"Cambridge","9,569"
"Buzzards Bay",453
"Burlington",320
"Brookline","2,513"
"Brockton",179
"Brimfield",46
"Brighton","2,324"
"Brewster","2,093"
"Braintree",271
"Boston","19,987"
"Billerica",59
"Beverly",318
"Belmont",264
"Belchertown",78
"Bedford",89
"Becket",223
"Barnstable",220
"Attleboro",103
"Athol",25
"Ashfield",59
"Ashburnham",41
"Arlington",521
"Andover",219
"Amherst",530
"Amesbury",62
"Allston","1,973"
"Adams",82
"Acton",175
"Abington",43
