Location,Latitude,Longitude
Abington,42.12,-70.96
Acushnet Center,41.69,-70.91
Adams,42.63,-73.12
Agawam,42.07,-72.65
Amesbury,42.85,-70.94
Amherst Center,42.38,-72.52
Andover,42.66,-71.14
Arlington,42.42,-71.16
Athol,42.59,-72.23
Attleboro,41.93,-71.29
Ayer,42.56,-71.58
Baldwinville,42.6,-72.08
Barnstable,41.67,-70.36
Barre,42.42,-72.11
Belchertown,42.27,-72.41
Bellingham,42.09,-71.48
Belmont,42.4,-71.18
Beverly,42.56,-70.84
Blandford,42.18,-72.92
Bliss Corner,41.61,-70.94
Boston,42.33,-71.02
Bourne,41.73,-70.62
Boxford,42.67,-70.98
Braintree,42.2,-71
Brewster,41.76,-70.08
Bridgewater,41.99,-70.97
Brockton,42.08,-71.02
Brookfield,42.22,-72.1
Brookline,42.32,-71.14
Burlington,42.5,-71.2
Buzzards Bay,41.76,-70.61
Cambridge,42.38,-71.12
Chatham,41.68,-69.96
Chelsea,42.4,-71.03
Cheshire,42.56,-73.16
Chester,42.28,-72.98
Chicopee,42.18,-72.57
Clinton,42.42,-71.69
Cochituate,42.33,-71.36
Cordaville,42.27,-71.52
Danvers,42.57,-70.95
Dedham,42.25,-71.18
Deerfield,42.55,-72.6
Dennis,41.73,-70.2
Dennis Port,41.67,-70.14
Devens,42.54,-71.61
Dover,42.25,-71.27
Duxbury,42.04,-70.67
East Brookfield,42.23,-72.05
East Dennis,41.74,-70.16
East Douglas,42.08,-71.71
East Falmouth,41.57,-70.56
East Harwich,41.71,-70.03
East Pepperell,42.67,-71.56
East Sandwich,41.74,-70.43
Easthampton,42.27,-72.67
Essex,42.63,-70.77
Everett,42.41,-71.05
Fall River,41.71,-71.1
Falmouth,41.55,-70.61
Fiskdale,42.12,-72.11
Fitchburg,42.59,-71.82
Forestdale,41.68,-70.51
Foxborough,42.06,-71.25
Framingham,42.31,-71.44
Franklin,42.09,-71.41
Gardner,42.58,-71.99
Gloucester,42.63,-70.68
Granby,42.26,-72.52
Great Barrington,42.19,-73.36
Green Harbor-Cedar Crest,42.07,-70.66
Greenfield,42.61,-72.6
Groton,42.61,-71.57
Hanson,42.06,-70.85
Harwich Center,41.69,-70.07
Harwich Port,41.67,-70.06
Hatfield,42.37,-72.61
Haverhill,42.78,-71.09
Hingham,42.24,-70.89
Holbrook,42.15,-71.01
Holland,42.05,-72.15
Holyoke,42.21,-72.64
Hopedale,42.13,-71.54
Hopkinton,42.22,-71.52
Housatonic,42.25,-73.36
Hudson,42.39,-71.56
Hull,42.31,-70.88
Huntington,42.24,-72.88
Ipswich,42.68,-70.83
Kingston,42,-70.72
Lawrence,42.7,-71.16
Lee,42.31,-73.25
Lenox,42.36,-73.29
Leominster,42.52,-71.77
Lexington,42.45,-71.23
Littleton Common,42.54,-71.47
Longmeadow,42.05,-72.57
Lowell,42.64,-71.32
Lunenburg,42.59,-71.73
Lynn,42.47,-70.96
Lynnfield,42.54,-71.04
Madaket,41.28,-70.19
Malden,42.43,-71.06
Mansfield Center,42.02,-71.22
Marblehead,42.49,-70.83
Marion Center,41.7,-70.76
Marlborough,42.35,-71.55
Marshfield,42.09,-70.7
Marshfield Hills,42.15,-70.73
Mashpee Neck,41.61,-70.47
Mattapoisett Center,41.67,-70.81
Maynard,42.43,-71.46
Medfield,42.19,-71.3
Medford,42.42,-71.11
Melrose,42.46,-71.06
Methuen,42.73,-71.19
Middleborough Center,41.89,-70.93
Milford,42.15,-71.52
Millers Falls,42.58,-72.49
Millis-Clicquot,42.16,-71.35
Milton,42.24,-71.08
Monomoscoy Island,41.57,-70.5
Monson Center,42.1,-72.3
Monument Beach,41.72,-70.61
Nahant,42.41,-70.91
Nantucket,41.27,-70.09
Needham,42.28,-71.24
New Bedford,41.66,-70.94
New Seabury,41.57,-70.48
Newburyport,42.81,-70.89
Newton,42.33,-71.21
North Adams,42.68,-73.12
North Amherst,42.41,-72.52
North Brookfield,42.27,-72.08
North Eastham,41.85,-70.02
North Falmouth,41.64,-70.63
North Lakeville,41.86,-70.94
North Pembroke,42.1,-70.78
North Plymouth,41.98,-70.68
North Scituate,42.21,-70.77
North Seekonk,41.89,-71.33
North Westport,41.65,-71.09
Northampton,42.33,-72.67
Northborough,42.31,-71.65
Northfield,42.71,-72.44
Northwest Harwich,41.69,-70.1
Norton Center,41.97,-71.19
Norwood,42.19,-71.19
Ocean Bluff-Brant Rock,42.1,-70.66
Ocean Grove,41.73,-71.21
Onset,41.75,-70.67
Orange,42.6,-72.3
Orleans,41.79,-70
Oxford,42.12,-71.87
Palmer,42.19,-72.31
Peabody,42.53,-70.97
Pepperell,42.67,-71.59
Petersham,42.49,-72.19
Pinehurst,42.53,-71.23
Pittsfield,42.45,-73.26
Plymouth,41.96,-70.66
Pocasset,41.69,-70.64
Popponesset,41.57,-70.46
Popponesset Island,41.59,-70.46
Provincetown,42.05,-70.18
Quincy,42.26,-71.01
Randolph,42.18,-71.05
Raynham Center,41.93,-71.04
Reading,42.54,-71.11
Revere,42.42,-70.99
Rockport,42.65,-70.62
Rowley,42.72,-70.87
Russell,42.2,-72.86
Rutland,42.36,-71.96
Sagamore,41.78,-70.53
Salem,42.52,-70.85
Salisbury,42.83,-70.84
Sandwich,41.76,-70.5
Saugus,42.47,-71.01
Scituate,42.19,-70.73
Seabrook,41.58,-70.5
Seconsett Island,41.57,-70.51
Sharon,42.12,-71.18
Shelburne Falls,42.61,-72.74
Shirley,42.54,-71.66
Siasconset,41.26,-69.97
Smith Mills,41.64,-70.99
Somerset,41.74,-71.16
Somerville,42.39,-71.1
South Amherst,42.34,-72.52
South Ashburnham,42.61,-71.94
South Deerfield,42.48,-72.59
South Dennis,41.71,-70.15
South Duxbury,42.02,-70.69
South Lancaster,42.44,-71.69
South Yarmouth,41.67,-70.2
Southbridge,42.06,-72.03
Southfield,42.15,-70.93
Spencer,42.25,-71.99
Springfield,42.12,-72.54
Stoneham,42.47,-71.1
Sturbridge,42.1,-72.06
Swampscott,42.47,-70.89
Taunton,41.9,-71.09
Teaticket,41.56,-70.59
The Pinehills,41.89,-70.6
Topsfield,42.64,-70.96
Townsend,42.67,-71.7
Turners Falls,42.6,-72.56
Upton,42.18,-71.61
Vineyard Haven,41.46,-70.6
Wakefield,42.5,-71.07
Walpole,42.14,-71.24
Waltham,42.39,-71.24
Ware,42.25,-72.25
Wareham Center,41.75,-70.72
Warren,42.22,-72.19
Watertown,42.37,-71.18
Webster,42.04,-71.87
Wellesley,42.3,-71.29
West Brookfield,42.24,-72.15
West Chatham,41.68,-69.99
West Concord,42.45,-71.4
West Dennis,41.67,-70.17
West Falmouth,41.6,-70.64
West Springfield,42.13,-72.65
West Wareham,41.79,-70.75
West Yarmouth,41.65,-70.25
Westborough,42.27,-71.62
Westfield,42.14,-72.76
Weweantic,41.74,-70.73
Weymouth,42.21,-70.94
White Island Shores,41.79,-70.64
Whitinsville,42.11,-71.67
Wilbraham,42.13,-72.43
Williamstown,42.71,-73.2
Wilmington,42.56,-71.17
Winchendon,42.68,-72.04
Winchester,42.45,-71.15
Winthrop,42.38,-70.97
Woburn,42.49,-71.15
Woods Hole,41.53,-70.67
Worcester,42.27,-71.81
Yarmouth Port,41.71,-70.23
West Barnstable,41.6956,-70.3657
Wellfleet,41.9334,-70.011
Wellesley Hills,42.3192,-71.2727
Wayland,42.3625,-71.3616
Truro,41.997,-70.0495
Tewksbury,42.6106,-71.2342
Swansea,41.7482,-71.1898
Stoughton,42.1245,-71.1045
Stockbridge,42.2808,-73.3201
Southwick,42.0541,-72.7702
Southborough,42.3056,-71.5256
South Wellfleet,41.9056,-69.9793
South Lee,42.2875,-73.2486
South Hadley,42.2596,-72.5747
South Egremont,42.133,-73.4411
South Dartmouth,41.5742,-70.961
South Chatham,41.6888,-69.9875
Shrewsbury,42.2945,-71.7387
Sheffield,42.1089,-73.3555
Sandisfield,42.1068,-73.13
Sagamore Beach,41.8048,-70.5271
Roxbury,42.3251,-71.0848
Roxbury Crossing,42.3314,-71.0982
Roslindale,42.2814,-71.1301
Richmond,42.3754,-73.3644
Rehoboth,41.8431,-71.2643
Otis,42.1942,-73.0631
Osterville,41.6352,-70.3826
Oak Bluffs,41.4555,-70.5616
North Weymouth,42.2358,-70.9429
North Truro,42.0366,-70.0902
North Chatham,41.7023,-69.96
North Andover,42.6982,-71.1351
Newtonville,42.3494,-71.2081
Newton Highlands,42.3224,-71.2071
Newton Center,42.3248,-71.1948
Natick,42.2814,-71.3492
Monterey,42.1846,-73.228
Millbury,42.191,-71.7645
Mattapan,42.2771,-71.0914
Marstons Mills,41.6583,-70.4179
Manchester,42.5664,-70.7674
Leicester,42.2432,-71.9097
Lanesboro,42.5141,-73.2487
Jamaica Plain,42.3097,-71.1151
Indian Orchard,42.1343,-72.5119
Hyde Park,42.2565,-71.1241
Hyannis Port,41.6325,-70.2957
Hyannis,41.6529,-70.2824
Humarock,42.1406,-70.6594
Hubbardston,42.4782,-72.0045
Hinsdale,42.4185,-73.1166
Hadley,42.3416,-72.6088
Granville,42.0853,-72.925
Florence,42.33,-72.6758
Fairhaven,41.6376,-70.9036
Edgartown,41.3895,-70.5133
East Wareham,41.761,-70.649
East Otis,42.1782,-73.0224
East Orleans,41.7921,-69.9871
Dracut,42.6706,-71.3021
Dorchester,42.3016,-71.0676
Dorchester Center,42.3016,-71.0676
Dalton,42.4753,-73.1675
Cummington,42.4485,-72.9059
Cotuit,41.6244,-70.435
Cohasset,42.2409,-70.801
Chilmark,41.3542,-70.7362
Chiang Mai,18.7883,98.9865
Chestnut Hill,42.3264,-71.1627
Chelmsford,42.5998,-71.3673
Charlestown,42.3779,-71.062
Charlemont,42.6241,-72.8732
Centerville,41.6456,-70.354
Cataumet,41.6502,-70.5972
Canton,42.1584,-71.1448
Brimfield,42.116,-72.2025
Brighton,42.3496,-71.137
