Location,Latitude,Longitude
West Barnstable,41.6956,-70.3657
Wellfleet,41.9334,-70.0110
Wellesley Hills,42.3192,-71.2727
Wayland,42.3625,-71.3616
Truro,41.9970,-70.0495
Tewksbury,42.6106,-71.2342
Swansea,41.7482,-71.1898
Stoughton,42.1245,-71.1045
Stockbridge,42.2808,-73.3201
Southwick,42.0541,-72.7702
Southborough,42.3056,-71.5256
South Wellfleet,41.9056,-69.9793
South Lee,42.2875,-73.2486
South Hadley,42.2596,-72.5747
South Egremont,42.1330,-73.4411
South Dartmouth,41.5742,-70.9610
South Chatham,41.6888,-69.9875
Shrewsbury,42.2945,-71.7387
Sheffield,42.1089,-73.3555
Sandisfield,42.1068,-73.1300
Sagamore Beach,41.8048,-70.5271
Roxbury,42.3251,-71.0848
Roxbury Crossing,42.3314,-71.0982
Roslindale,42.2814,-71.1301
Richmond,42.3754,-73.3644
Rehoboth,41.8431,-71.2643
Otis,42.1942,-73.0631
Osterville,41.6352,-70.3826
Oak Bluffs,41.4555,-70.5616
North Weymouth,42.2358,-70.9429
