Unnamed: 0,month_date_yyyymm,county_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
,202403,"hampshire, ma",499700,90,26,80,0,16,294,1800,592612,110
,202403,"norfolk, ma",972498,493,22,628,4,124,466,2206,1665330,622
,202403,"suffolk, ma",1099900,946,33,720,4,200,955,1310,2164268,1056
,202403,"barnstable, ma",985000,641,52,480,8,132,568,1920,1762297,1100
,202403,"essex, ma",799900,379,18,564,4,72,414,2015,1207914,525
,202403,"middlesex, ma",1077000,1036,17,1428,16,248,495,2136,1545640,1284
,202403,"nantucket, ma",4750000,109,116,20,4,4,1685,3138,6756455,110
,202403,"plymouth, ma",690000,475,30,516,16,120,373,1889,1011563,614
,202403,"berkshire, ma",499000,244,74,96,0,36,263,1863,1030653,379
,202403,"dukes, ma",2450000,135,139,32,0,8,1105,2337,3930340,158
,202403,"worcester, ma",525000,542,22,696,8,128,292,1821,628182,708
,202403,"bristol, ma",541450,338,30,356,4,80,306,1856,652358,439
,202403,"hampden, ma",324900,249,23,312,4,76,219,1580,401846,332
,202403,"franklin, ma",389000,47,60,36,0,8,222,1590,883684,57
,202402,"middlesex, ma",1058724,857,26,934,6,166,485,2110,1500198,1069
,202402,"norfolk, ma",899950,447,30,452,8,84,464,2087,1572723,557
,202402,"nantucket, ma",4162700,90,121,18,4,4,1683,3088,6794568,91
,202402,"berkshire, ma",469975,251,92,68,0,34,259,1867,981238,375
,202402,"hampden, ma",307494,246,32,246,2,76,218,1535,383438,311
,202402,"essex, ma",749950,364,26,400,4,60,418,1923,1195281,464
,202402,"suffolk, ma",1099500,809,39,512,10,100,999,1325,2229584,922
,202402,"bristol, ma",531000,338,38,248,6,88,309,1821,647150,441
,202402,"franklin, ma",384875,48,47,36,0,10,222,1698,853136,60
,202402,"dukes, ma",2436250,138,130,28,0,4,1099,2367,3871615,156
,202402,"worcester, ma",532445,505,29,528,12,106,288,1820,618346,656
,202402,"barnstable, ma",915725,603,77,344,4,112,546,1875,1700646,984
,202402,"hampshire, ma",533725,94,52,72,0,22,285,1825,575844,116
,202402,"plymouth, ma",672550,456,39,374,16,108,365,1896,952598,587
,202401,"berkshire, ma",450000,270,87,76,0,40,255,1849,937190,396
,202401,"hampden, ma",320925,278,45,248,0,82,220,1540,383699,342
,202401,"bristol, ma",549450,385,57,260,12,92,308,1873,644094,460
,202401,"worcester, ma",525000,533,45,436,16,126,281,1872,591566,651
