town,listings
Yarmouth Port,148
Worcester,360
Woods Hole,55
Woburn,211
Winthrop,72
Winchester,16
Winchendon,13
Wilmington,46
Williamstown,171
Williamsburg,37
Westport,88
Westport Point,16
Weston,15
Westminster,18
Westford,17
Westfield,58
Westborough,62
West Yarmouth,422
West Wareham,20
West Tisbury,201
West Stockbridge,62
West Roxbury,71
West Newton,27
West Hyannisport,26
West Harwich,122
West Dennis,213
West Chatham,63
West Brookfield,13
West Barnstable,49
Wellfleet,469
Wellesley,23
Wellesley Hills,14
Webster,25
Wayland,18
Watertown,181
Wareham,110
Ware,17
Waltham,175
Wakefield,92
Vineyard Haven,289
Truro,129
Tewksbury,22
Taunton,47
Swansea,11
Swampscott,53
Sturbridge,18
Stoughton,29
Stoneham,32
Stockbridge,73
Springfield,224
Spencer,15
Southwick,41
Southfield,27
Southborough,14
South Yarmouth,444
South Wellfleet,77
South Lee,14
South Hadley,23
South Egremont,33
South Dennis,178
South Deerfield,17
South Dartmouth,64
South Chatham,182
Somerville,561
Somerset,30
Siasconset,106
Shrewsbury,52
Shelburne Falls,60
Sheffield,61
Sharon,53
Scituate,161
Saugus,34
Sandwich,227
Sandisfield,31
Salisbury,154
Salem,440
Sagamore Beach,113
Rutland,12
Roxbury,269
Roxbury Crossing,87
Rowley,13
Roslindale,87
Rockport,308
Richmond,27
Revere,182
Rehoboth,14
Randolph,42
Quincy,230
Provincetown,"1,186"
Pocasset,89
Plymouth,469
Pittsfield,201
Peabody,37
Palmer,20
Otis,36
Osterville,138
Orleans,446
Orange,28
Onset,81
Oak Bluffs,613
Norwood,15
Northampton,112
North Weymouth,19
North Truro,351
North Falmouth,140
North Chatham,92
North Andover,57
North Adams,149
Newtonville,45
Newton,63
Newton Highlands,36
Newton Center,47
Newburyport,175
Newbury,116
New Bedford,76
Natick,23
Nantucket,"1,220"
Nahant,45
Monterey,62
Montague,9
Milton,43
Millbury,10
Milford,49
Methuen,24
Melrose,60
Medford,247
Mattapoisett,57
Mattapan,67
Mashpee,475
Marstons Mills,69
Marshfield,130
Marlborough,50
Marion,50
Marblehead,210
Mansfield,20
Manchester,43
Malden,192
Lynn,103
Lowell,98
Littleton,23
Lexington,50
Leominster,20
Lenox,222
Leicester,20
Lee,160
Lawrence,41
Lanesboro,220
Lakeville,18
Kingston,23
Jamaica Plain,202
Ipswich,76
Indian Orchard,13
Hyde Park,55
Hyannis,415
Hyannis Port,23
Huntington,25
Humarock,51
Hull,86
Hubbardston,24
Housatonic,42
Holyoke,45
Holland,26
Hinsdale,26
Hingham,16
Haverhill,39
Harwich,301
Harwich Port,238
Hadley,23
Groton,22
Greenfield,29
Great Barrington,342
Granville,16
Granby,16
Gloucester,397
Franklin,54
Framingham,78
Foxboro,144
Forestdale,19
Florence,59
Fitchburg,32
Falmouth,352
Fall River,44
Fairhaven,82
Everett,180
Essex,35
Edgartown,617
Easthampton,41
Eastham,633
East Wareham,27
East Sandwich,290
East Otis,40
East Orleans,62
East Falmouth,496
East Dennis,49
Duxbury,36
Dracut,48
Dorchester,543
Dorchester Center,171
Dennis,202
Dennis Port,715
Dedham,46
Danvers,44
Dalton,15
Cummington,15
Cotuit,89
Concord,24
Cohasset,30
Chilmark,198
Chicopee,32
Chestnut Hill,32
Cheshire,17
Chelsea,116
Chelmsford,72
Chatham,526
Charlestown,87
Charlemont,38
Centerville,300
Cataumet,20
Canton,22
Cambridge,"1,249"
Buzzards Bay,174
Burlington,149
Brookline,393
Brockton,72
Brimfield,23
Brighton,356
Brewster,618
Braintree,43
Boston,"3,095"
Billerica,16
Beverly,121
Belmont,39
Belchertown,26
Bedford,14
Becket,98
Barnstable,81
Attleboro,39
Athol,25
Ashfield,21
Ashburnham,19
Arlington,116
Andover,69
Amherst,126
Amesbury,18
Allston,177
Adams,38
Acton,33
Abington,18
